,0,1,2,3,4,5,6,7,8,9
67,الجهراء,م. سعد العبدالله,خاص,بيت,بيع,%100.000,8,12/01/2023,400,300000
68,مبارك الكبير,أبو فطيرة,خاص,أرض,بيع,%100.000,5,12/01/2023,500,620
69,حولي,الجابرية,إستثماري,شقة,بيع,%100.000,0,12/01/2023,70.8,76000
70,مبارك الكبير,الفنيطيس,خاص,بيت,بيع,%100.000,8,12/01/2023,400,837000
71,الأحمدي,المهبولة,إستثماري,شقة,بيع,%100.000,0,12/01/2023,61.77,42000
72,حولي,ض. الزهراء,خاص,بيت,بيع مستحق مشاع,%87.500,6,12/01/2023,400,586750
73,الأحمدي,مدينه صباح الاحمد البحريه,خاص,أرض,بيع,%100.000,0,12/01/2023,497,300000
74,حولي,ض. حطين,خاص,بيت,بيع,%100.000,4,12/01/2023,538,750000
75,مبارك الكبير,أبو فطيرة,خاص,أرض,بيع,%100.000,5,12/01/2023,500,403
76,الفروانية,غرب عبدالله المبارك,خاص,بيت,بيع,%100.000,7,12/01/2023,400,650000
77,مبارك الكبير,الفنيطيس,خاص,أرض,بيع,%100.000,8,12/01/2023,400,772000
78,الأحمدي,مدينه صباح الاحمد البحريه,خاص,أرض,بيع,%100.000,0,11/01/2023,554,358000
79,الجهراء,م. سعد العبدالله,خاص,بيت,بيع,%100.000,1,11/01/2023,400,415000
80,حولي,سلوى,خاص,بيت,بيع,%100.000,8,11/01/2023,375,400000
81,العاصمة,شمال غرب الصليبيخات,خاص,بيت,بيع,%100.000,1,11/01/2023,400,749044.8
82,الأحمدي,الأحمدي,خاص,بيت,بيع,%100.000,1,11/01/2023,251,240000
83,الأحمدي,شرق الأحمدي,خاص,بيت,بيع,%100.000,2,11/01/2023,251,200000
84,الجهراء,م. سعد العبدالله,خاص,بيت,بيع,%100.000,8,11/01/2023,400,430000
85,حولي,الشعب,إستثماري,بناية,بيع,%100.000,8,11/01/2023,889,2150000
86,الأحمدي,الفحيحيل,خاص,بيت,بيع,%100.000,118,11/01/2023,600,410000
87,الأحمدي,مدينه صباح الاحمد البحريه,خاص,بيت,بيع,%100.000,0,10/01/2023,525,550000
88,الأحمدي,مدينه صباح الاحمد البحريه,تجاري,مجمع,بيع,%0.510,0,10/01/2023,2518,40000
89,حولي,الشعب,إستثماري,شقة,بيع,%100.000,0,10/01/2023,123.54,125000
90,الأحمدي,مدينه صباح الاحمد البحريه,خاص,أرض,بيع,%100.000,0,10/01/2023,494,510000
91,الأحمدي,الصباحية,خاص,بيت,بيع,%100.000,1,10/01/2023,600,400000
92,الجهراء,الواحة,خاص,بيت,بيع,%7.720,2,10/01/2023,300,17757.02
93,حولي,ض. السلام,خاص,أرض,بيع,%100.000,6,10/01/2023,375,490000
94,مبارك الكبير,القصور,خاص,بيت,بيع,%100.000,6,10/01/2023,400,380000
95,الأحمدي,مدينه صباح الاحمد البحريه,تجاري,محل,بيع,%100.000,0,10/01/2023,67.069,40000
96,الأحمدي,الرقة,خاص,بيت,بيع,%100.000,1,09/01/2023,400,24600
97,12345,1,2,3,4,5,,,,
98,1,2,3,4,5,,,,,
